mode,buffer_size,iteration,slot,count,total_us,avg_us
checker,1024,2,fsync_hook,16386,138670,8
checker,1024,2,close_hook,1,11766,11766
checker,1024,2,exit_hook,1,10399,10399
checker,2048,0,compute_tag,4016,18888069,4703
checker,2048,0,vault_save,4016,19478425,4850
checker,2048,0,mc_increment,4016,38298577,9536
checker,2048,0,commit_now,4016,76792771,19121
checker,2048,0,batch_latency,4016,134760773,33555
checker,2048,0,fsync_hook,8194,75672,9
checker,2048,0,close_hook,1,10690,10690
checker,2048,0,exit_hook,1,11837,11837
checker,2048,1,compute_tag,3999,18089949,4523
checker,2048,1,vault_save,3999,18573426,4644
checker,2048,1,mc_increment,3999,36381078,9097
checker,2048,1,commit_now,3999,73170641,18297
checker,2048,1,batch_latency,3999,128327473,32089
checker,2048,1,fsync_hook,8194,75380,9
checker,2048,1,close_hook,1,10612,10612
checker,2048,1,exit_hook,1,12113,12113
checker,2048,2,compute_tag,3986,18269642,4583
checker,2048,2,vault_save,3986,18855189,4730
checker,2048,2,mc_increment,3986,37650550,9445
checker,2048,2,commit_now,3986,74900474,18790
checker,2048,2,batch_latency,3986,131606970,33017
checker,2048,2,fsync_hook,8194,75510,9
checker,2048,2,close_hook,1,11254,11254
checker,2048,2,exit_hook,1,13998,13998
checker,4096,0,compute_tag,2020,10839722,5366
checker,4096,0,vault_save,2020,10076725,4988
checker,4096,0,mc_increment,2020,17745782,8785
checker,4096,0,commit_now,2020,38725189,19170
checker,4096,0,batch_latency,2020,66632753,32986
checker,4096,0,fsync_hook,4098,37974,9
checker,4096,0,close_hook,1,11642,11642
checker,4096,0,exit_hook,1,12872,12872
checker,4096,1,compute_tag,2015,11452928,5683
checker,4096,1,vault_save,2015,12400627,6154
checker,4096,1,mc_increment,2015,21710247,10774
checker,4096,1,commit_now,2015,45626061,22643
checker,4096,1,batch_latency,2015,79907234,39656
checker,4096,1,fsync_hook,4098,37794,9
checker,4096,1,close_hook,1,31644,31644
checker,4096,1,exit_hook,1,13061,13061
checker,4096,2,compute_tag,2015,11752908,5832
checker,4096,2,vault_save,2015,10485211,5203
checker,4096,2,mc_increment,2015,19304140,9580
checker,4096,2,commit_now,2015,41604754,20647
checker,4096,2,batch_latency,2015,71518736,35493
checker,4096,2,fsync_hook,4098,37918,9
checker,4096,2,close_hook,1,13288,13288
checker,4096,2,exit_hook,1,12913,12913
checker,8192,0,compute_tag,1012,6364028,6288
checker,8192,0,vault_save,1012,6271645,6197
checker,8192,0,mc_increment,1012,11309942,11175
checker,8192,0,commit_now,1012,23977086,23692
checker,8192,0,batch_latency,1012,41700744,41206
checker,8192,0,fsync_hook,2050,18974,9
checker,8192,0,close_hook,1,15400,15400
checker,8192,0,exit_hook,1,14721,14721
checker,8192,1,compute_tag,998,7325920,7340
checker,8192,1,vault_save,998,6285334,6297
checker,8192,1,mc_increment,998,11071962,11094
checker,8192,1,commit_now,998,24714176,24763
checker,8192,1,batch_latency,998,43099289,43185
checker,8192,1,fsync_hook,2050,18827,9
checker,8192,1,close_hook,1,11338,11338
checker,8192,1,exit_hook,1,10071,10071
checker,8192,2,compute_tag,1017,5307829,5219
checker,8192,2,vault_save,1017,4940675,4858
checker,8192,2,mc_increment,1017,8780982,8634
checker,8192,2,commit_now,1017,19061087,18742
checker,8192,2,batch_latency,1017,32821332,32272
checker,8192,2,fsync_hook,2050,18963,9
checker,8192,2,close_hook,1,28366,28366
checker,8192,2,exit_hook,1,11653,11653
checker,16384,0,compute_tag,512,2623817,5124
checker,16384,0,vault_save,512,2712865,5298
checker,16384,0,mc_increment,512,4733138,9244
checker,16384,0,commit_now,512,10085736,19698
checker,16384,0,batch_latency,512,17543832,34265
checker,16384,0,fsync_hook,1026,9434,9
checker,16384,0,close_hook,1,11462,11462
checker,16384,0,exit_hook,1,10714,10714
checker,16384,1,compute_tag,510,2980695,5844
checker,16384,1,vault_save,510,2487775,4877
checker,16384,1,mc_increment,510,4523092,8868
checker,16384,1,commit_now,510,10007410,19622
checker,16384,1,batch_latency,510,17036774,33405
checker,16384,1,fsync_hook,1026,9622,9
checker,16384,1,close_hook,1,11233,11233
checker,16384,1,exit_hook,1,13604,13604
checker,16384,2,compute_tag,512,2828701,5524
checker,16384,2,vault_save,512,2462139,4808
checker,16384,2,mc_increment,512,4257284,8315
checker,16384,2,commit_now,512,9564056,18679
checker,16384,2,batch_latency,512,16291207,31818
checker,16384,2,fsync_hook,1026,9573,9
checker,16384,2,close_hook,1,10955,10955
checker,16384,2,exit_hook,1,9731,9731
checker,32768,0,compute_tag,257,1487234,5786
checker,32768,0,vault_save,257,1171853,4559
checker,32768,0,mc_increment,257,2375186,9241
checker,32768,0,commit_now,257,5042313,19619
checker,32768,0,batch_latency,257,8587768,33415
checker,32768,0,fsync_hook,514,4778,9
checker,32768,0,close_hook,1,19221,19221
checker,32768,0,exit_hook,1,18338,18338
checker,32768,1,compute_tag,258,1691802,6557
checker,32768,1,vault_save,258,1281596,4967
checker,32768,1,mc_increment,258,2349884,9108
checker,32768,1,commit_now,258,5331330,20664
checker,32768,1,batch_latency,258,8948950,34685
checker,32768,1,fsync_hook,514,4886,9
