mode,checker_prob,iteration,slot,count,total_us,avg_us
checker,10,7,exit_hook,1,12501,12501
checker,10,7,gate_hook,0,0,0
checker,10,8,compute_tag,17,9820,577
checker,10,8,vault_save,17,88017,5177
checker,10,8,mc_increment,17,95313,5606
checker,10,8,commit_now,17,194091,11417
checker,10,8,batch_latency,17,234257,13779
checker,10,8,fsync_hook,21,24509,1167
checker,10,8,close_hook,6,94360,15726
checker,10,8,exit_hook,1,11280,11280
checker,10,8,gate_hook,0,0,0
checker,10,9,compute_tag,18,20327,1129
checker,10,9,vault_save,18,100704,5594
checker,10,9,mc_increment,18,105745,5874
checker,10,9,commit_now,18,227514,12639
checker,10,9,batch_latency,18,292902,16272
checker,10,9,fsync_hook,21,56279,2679
checker,10,9,close_hook,6,103071,17178
checker,10,9,exit_hook,1,12443,12443
checker,10,9,gate_hook,0,0,0
checker,100,0,compute_tag,21,437,20
checker,100,0,vault_save,21,123674,5889
checker,100,0,mc_increment,21,110763,5274
checker,100,0,commit_now,21,235807,11228
checker,100,0,batch_latency,21,236518,11262
checker,100,0,fsync_hook,21,237126,11291
checker,100,0,close_hook,6,63169,10528
checker,100,0,exit_hook,1,10953,10953
checker,100,0,gate_hook,0,0,0
checker,100,1,compute_tag,21,700,33
checker,100,1,vault_save,21,112719,5367
checker,100,1,mc_increment,21,100044,4764
checker,100,1,commit_now,21,214628,10220
checker,100,1,batch_latency,21,215493,10261
checker,100,1,fsync_hook,21,222048,10573
checker,100,1,close_hook,6,70598,11766
checker,100,1,exit_hook,1,10075,10075
checker,100,1,gate_hook,0,0,0
checker,100,2,compute_tag,21,479,22
checker,100,2,vault_save,21,118445,5640
checker,100,2,mc_increment,21,110065,5241
checker,100,2,commit_now,21,230248,10964
checker,100,2,batch_latency,21,231092,11004
checker,100,2,fsync_hook,21,234179,11151
checker,100,2,close_hook,6,67339,11223
checker,100,2,exit_hook,1,12484,12484
checker,100,2,gate_hook,0,0,0
checker,100,3,compute_tag,21,486,23
checker,100,3,vault_save,21,121200,5771
checker,100,3,mc_increment,21,109887,5232
checker,100,3,commit_now,21,232957,11093
checker,100,3,batch_latency,21,233910,11138
checker,100,3,fsync_hook,21,235104,11195
checker,100,3,close_hook,6,74745,12457
checker,100,3,exit_hook,1,13389,13389
checker,100,3,gate_hook,0,0,0
checker,100,4,compute_tag,21,846,40
checker,100,4,vault_save,21,119558,5693
checker,100,4,mc_increment,21,101415,4829
checker,100,4,commit_now,21,223139,10625
checker,100,4,batch_latency,21,224181,10675
checker,100,4,fsync_hook,21,224971,10712
checker,100,4,close_hook,6,71782,11963
checker,100,4,exit_hook,1,10630,10630
checker,100,4,gate_hook,0,0,0
checker,100,5,compute_tag,21,408,19
checker,100,5,vault_save,21,122863,5850
checker,100,5,mc_increment,21,106064,5050
checker,100,5,commit_now,21,230407,10971
checker,100,5,batch_latency,21,231259,11012
checker,100,5,fsync_hook,21,233065,11098
checker,100,5,close_hook,6,63602,10600
checker,100,5,exit_hook,1,10595,10595
